ID,LOAN_ID,USER_ID,CREATED_AT,AMOUNT_DISBURSED,AMOUNT_FEE,NUM_REPAYMENTS,DAYS_BTWN_REPAYMENTS,LOAN_TERM_DAYS,LOAN_STATUS,DISBURSED_AT,USER_LOAN_RANK,PAID_IN_FULL_AT,CREDIT_SCORE,AMOUNT_REPAID,LOAN_TENURE
93986,6677583,2617094,2018-06-26,1000,152,4,7,28,defaulted,26/06/18,8,,0.8559,552,
65742,5704576,2617215,2018-11-05,5000,664,4,7,28,defaulted,2018-11-05 00:00:00,4,,0.8927,4396,
16322,5951124,2617308,2018-05-23,500,76,4,7,28,defaulted,23/05/18,3,,0.8111,200,
1236,4896539,2617489,2018-03-04,4000,540,4,7,28,defaulted,2018-03-04 00:00:00,3,,0.8509,140,
61427,6237306,2617681,2018-06-06,3100,432,4,7,28,defaulted,2018-06-06 00:00:00,4,,0.81,0,
84657,5054812,2618230,2018-10-04,2000,304,4,7,28,defaulted,2018-10-04 00:00:00,2,,0.7695,0,
53677,5124653,2618335,2018-04-14,1000,152,4,7,28,defaulted,14/04/18,5,,0.8135,0,
29738,6369898,2618731,2018-12-06,2000,304,4,7,28,defaulted,2018-12-06 00:00:00,9,,0.8541,0,
86152,5406901,2619676,2018-04-28,4000,540,4,7,28,defaulted,28/04/18,4,,0.8415,0,
2630,5056137,2620778,2018-10-04,2000,304,4,7,28,defaulted,2018-10-04 00:00:00,2,,0.8533,3,
70126,5061716,2620949,2018-11-04,1000,152,4,7,28,defaulted,2018-11-04 00:00:00,5,,0.8051,0,
97452,6232197,2621103,2018-05-06,1000,152,4,7,28,defaulted,2018-05-06 00:00:00,4,,0.8557,0,
14261,4904140,2621188,2018-04-04,3100,432,4,7,28,defaulted,2018-04-04 00:00:00,2,,0.8329,0,
22794,5262841,2621567,2018-04-20,500,76,4,7,28,defaulted,20/04/18,4,,0.8504,0,
63625,5046384,2622124,2018-10-04,1000,153,1,28,28,defaulted,2018-10-04 00:00:00,2,,0.7869,600,
95701,5013493,2622202,2018-09-04,1000,152,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.7928,0,
22854,6532349,2622749,2018-06-19,1000,152,4,7,28,defaulted,19/06/18,1,,0.5957,0,
65903,5038299,2622818,2018-10-04,3100,432,4,7,28,defaulted,2018-10-04 00:00:00,4,,0.8568,0,
38820,5174131,2622856,2018-04-16,3100,432,4,7,28,defaulted,16/04/18,6,,0.8832,900,
5771,4954632,2623544,2018-06-04,2000,304,4,7,28,defaulted,2018-06-04 00:00:00,2,,0.788,0,
88868,5292477,2623845,2018-04-22,3100,432,4,7,28,defaulted,22/04/18,4,,0.8806,1448,
91278,5858324,2624415,2018-05-19,3100,432,4,7,28,defaulted,19/05/18,6,,0.865,1,
87462,6405987,2624435,2018-06-13,6600,1782,2,28,56,defaulted,13/06/18,5,,0.8568,0,
9838,4983208,2624921,2018-07-04,6600,1368,8,7,56,defaulted,2018-07-04 00:00:00,5,,0.8466,0,
92986,5154528,2625191,2018-04-15,500,76,4,7,28,defaulted,15/04/18,2,,0.8461,0,
36400,4873324,2626134,2018-02-04,2000,304,4,7,28,defaulted,2018-02-04 00:00:00,2,,0.8114,0,
67391,4890708,2626174,2018-03-04,500,76,4,7,28,defaulted,2018-03-04 00:00:00,5,,0.8634,0,
55604,5348975,2626507,2018-04-25,3100,432,4,7,28,defaulted,25/04/18,6,,0.8694,0,
30931,4905509,2626609,2018-04-04,500,76,4,7,28,defaulted,2018-04-04 00:00:00,2,,0.7282,1,
76963,5484153,2627134,2018-01-05,250,38,4,7,28,defaulted,2018-01-05 00:00:00,2,,0.7163,0,
99937,5773599,2627264,2018-05-14,1000,152,4,7,28,defaulted,14/05/18,6,,0.8274,0,
42826,5174649,2627302,2018-04-16,500,76,4,7,28,defaulted,16/04/18,2,,0.6866,0,
73132,4987695,2627737,2018-07-04,5000,664,4,7,28,defaulted,2018-07-04 00:00:00,5,,0.8086,0,
38699,4880150,2627760,2018-03-04,3100,432,4,7,28,defaulted,2018-03-04 00:00:00,2,,0.7513,0,
88561,5065125,2628543,2018-11-04,1000,152,4,7,28,defaulted,2018-11-04 00:00:00,1,,0.653,288,
98953,5058580,2628722,2018-11-04,500,76,4,7,28,defaulted,2018-11-04 00:00:00,3,,0.8809,176,
38154,4975775,2629015,2018-07-04,3100,432,4,7,28,defaulted,2018-07-04 00:00:00,3,,0.8735,8,
31185,6250023,2629049,2018-06-06,1000,152,4,7,28,defaulted,2018-06-06 00:00:00,7,,0.8312,0,
59194,5901344,2629050,2018-05-21,3100,432,4,7,28,defaulted,21/05/18,4,,0.8562,1500,
5254,4884684,2630072,2018-03-04,3100,432,4,7,28,defaulted,2018-03-04 00:00:00,2,,0.7976,606,
58291,4979804,2631766,2018-07-04,3100,432,4,7,28,defaulted,2018-07-04 00:00:00,2,,0.7704,0,
39493,4979585,2631818,2018-07-04,3100,432,4,7,28,defaulted,2018-07-04 00:00:00,2,,0.8599,0,
22276,4989586,2631954,2018-07-04,2000,304,4,7,28,defaulted,2018-07-04 00:00:00,2,,0.7726,0,
38803,5186396,2632749,2018-04-17,4000,540,4,7,28,defaulted,17/04/18,5,,0.9077,0,
76894,4956304,2634321,2018-06-04,500,76,4,7,28,defaulted,2018-06-04 00:00:00,3,,0.8122,0,
28617,5902197,2634406,2018-05-21,5000,664,4,7,28,defaulted,21/05/18,7,,0.8819,0,
87816,6136741,2634426,2018-01-06,2000,304,4,7,28,defaulted,2018-01-06 00:00:00,8,,0.8707,683,
41814,6446041,2634578,2018-06-15,2000,304,4,7,28,defaulted,15/06/18,6,,0.8312,0,
30436,4988507,2634757,2018-07-04,1000,152,4,7,28,defaulted,2018-07-04 00:00:00,2,,0.796,100,
69205,4995676,2634838,2018-08-04,3100,452,1,28,28,defaulted,2018-08-04 00:00:00,2,,0.8033,0,
98593,4938923,2635415,2018-05-04,1000,152,4,7,28,defaulted,2018-05-04 00:00:00,3,,0.7944,0,
95147,6508472,2635833,2018-06-18,2000,304,4,7,28,defaulted,18/06/18,6,,0.855,0,
21753,5010634,2637356,2018-09-04,2000,304,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.7846,200,
80215,5197316,2637418,2018-04-17,5000,664,4,7,28,defaulted,17/04/18,4,,0.877,1145,
52870,6658908,2638903,2018-06-25,4000,540,4,7,28,defaulted,25/06/18,8,,0.8477,11,
69028,6648298,2638984,2018-06-25,1000,152,4,7,28,defaulted,25/06/18,5,,0.8076,702,
49417,5080406,2640475,2018-12-04,500,76,4,7,28,defaulted,2018-12-04 00:00:00,6,,0.8857,5,
36087,5291822,2640701,2018-04-22,4000,540,4,7,28,defaulted,22/04/18,3,,0.7847,2440,
43723,4888380,2640827,2018-03-04,2000,304,4,7,28,defaulted,2018-03-04 00:00:00,2,,0.7827,200,
85593,5392905,2641062,2018-04-27,1000,152,4,7,28,defaulted,27/04/18,3,,0.8473,288,
28795,5689136,2641117,2018-10-05,3100,432,4,7,28,defaulted,2018-10-05 00:00:00,7,,0.8513,0,
62049,5631305,2641458,2018-08-05,1000,152,4,7,28,defaulted,2018-08-05 00:00:00,5,,0.782,0,
69301,5508701,2641677,2018-02-05,5000,664,4,7,28,defaulted,2018-02-05 00:00:00,8,,0.895,0,
19113,5338063,2641691,2018-04-24,4000,540,4,7,28,defaulted,24/04/18,4,,0.8608,0,
8124,5167246,2642832,2018-04-16,3100,432,4,7,28,defaulted,16/04/18,2,,0.8655,0,
57266,5020454,2643281,2018-09-04,2000,304,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.7482,0,
67669,5659526,2643755,2018-09-05,1000,152,4,7,28,defaulted,2018-09-05 00:00:00,4,,0.8605,0,
51222,5416099,2643823,2018-04-28,2000,304,4,7,28,defaulted,28/04/18,3,,0.7819,0,
45508,5902377,2644496,2018-05-21,1000,152,4,7,28,defaulted,21/05/18,4,,0.879,481,
90779,5574365,2644945,2018-05-05,500,76,4,7,28,defaulted,2018-05-05 00:00:00,4,,0.8008,0,
43112,4853280,2644962,2018-01-04,1000,152,4,7,28,defaulted,2018-01-04 00:00:00,2,,0.7981,0,
4234,5030453,2645200,2018-09-04,3100,432,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.8509,0,
43969,5949066,2645445,2018-05-23,3100,432,4,7,28,defaulted,23/05/18,2,,0.8763,100,
71241,6114228,2645679,2018-05-31,6600,1782,2,28,56,defaulted,31/05/18,5,,0.9037,0,
42815,4875194,2646117,2018-02-04,500,76,4,7,28,defaulted,2018-02-04 00:00:00,2,,0.7994,40,
61648,5956394,2646537,2018-05-23,250,38,4,7,28,defaulted,23/05/18,4,,0.8136,0,
73565,5587252,2646679,2018-06-05,2000,304,4,7,28,defaulted,2018-06-05 00:00:00,2,,0.8857,0,
10253,5214217,2647032,2018-04-18,2000,304,4,7,28,defaulted,18/04/18,2,,0.7752,0,
